birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
"Kiev, Ukraine","Right-Handed, Two-Handed Backhand",Denis Kudla,165,http://www.atpworldtour.com/en/players/denis-kudla/kb09/overview,USA,180,1992.08.17,61,63,"Arlington, VA/Tampa, FL, U.S.A",27,794
"The Hague, The Netherlands","Right-Handed, Two-Handed Backhand",Robin Haase,170,http://www.atpworldtour.com/en/players/robin-haase/h756/overview,NED,191,1987.04.06,62,64,"Turnhout, Belgium",28,790
"Pribran, Czech Republic","Left-Handed, Two-Handed Backhand",Jiri Vesely,203,http://www.atpworldtour.com/en/players/jiri-vesely/v708/overview,CZE,198,1993.07.10,63,53,"Breznice, Czech Republic",30,780
"Bizerte, Tunisia","Right-Handed, Two-Handed Backhand",Malek Jaziri,177,http://www.atpworldtour.com/en/players/malek-jaziri/j267/overview,TUN,185,1984.01.20,64,76,"Tunis, Tunisia",32,779
"Brno, Czech Republic","Right-Handed, Two-Handed Backhand",Lukas Rosol,183,http://www.atpworldtour.com/en/players/lukas-rosol/r685/overview,CZE,196,1985.07.24,65,61,"Prague, Czech Republic",33,762
"Brisbane, Australia",Right-Handed,John Millman,175,http://www.atpworldtour.com/en/players/john-millman/mh30/overview,AUS,183,1989.06.14,66,65,"Brisbane, Australia",27,761
"Moscow, Russia","Right-Handed, Two-Handed Backhand",Evgeny Donskoy,163,http://www.atpworldtour.com/en/players/evgeny-donskoy/d864/overview,RUS,185,1990.05.09,67,68,"Moscow, Russia",31,752
"Dneprodzerzhinsk, Ukraine","Right-Handed, Two-Handed Backhand",Illya Marchenko,185,http://www.atpworldtour.com/en/players/illya-marchenko/me89/overview,UKR,185,1987.09.08,68,70,"Donetsk, Ukraine",26,749
"Belgrade, Serbia","Right-Handed, One-Handed Backhand",Dusan Lajovic,172,http://www.atpworldtour.com/en/players/dusan-lajovic/l987/overview,SRB,183,1990.06.30,69,67,"Stara Pazova, Serbia",28,748
"Rancho Santa Fe, CA, U.S.A","Right-Handed, Two-Handed Backhand",Taylor Fritz,185,http://www.atpworldtour.com/en/players/taylor-fritz/fb98/overview,USA,193,1997.10.28,70,69,"Rancho Santa Fe, CA, U.S.A",19,744
"Murcia, Spain","Right-Handed, One-Handed Backhand",Nicolas Almagro,185,http://www.atpworldtour.com/en/players/nicolas-almagro/a479/overview,ESP,183,1985.08.21,71,66,"Murcia, Spain",24,739
"Hostalric, Spain","Right-Handed, One-Handed Backhand",Tommy Robredo,165,http://www.atpworldtour.com/en/players/tommy-robredo/r419/overview,ESP,180,1982.05.01,72,58,"San Cugat del Valles, Spain",17,730
"Orenburg, Russia","Right-Handed, Two-Handed Backhand",Denis Istomin,194,http://www.atpworldtour.com/en/players/denis-istomin/i165/overview,UZB,188,1986.09.07,73,73,"Tashkent, Uzbekistan",29,721
"Denver, CO, USA","Right-Handed, One-Handed Backhand",Rajeev Ram,180,http://www.atpworldtour.com/en/players/rajeev-ram/r548/overview,USA,193,1984.03.18,74,56,"Carmel, IN, USA",21,716
"Medjugorje, Bosnia-Herzegovina","Right-Handed, Two-Handed Backhand",Ivan Dodig,183,http://www.atpworldtour.com/en/players/ivan-dodig/d646/overview,CRO,183,1985.01.02,75,79,"Zagreb, Croatia",22,714
"Moscow, Russia","Right-Handed, One-Handed Backhand",Mikhail Youzhny,160,http://www.atpworldtour.com/en/players/mikhail-youzhny/y061/overview,RUS,183,1982.06.25,76,74,"Moscow, Russia",28,711
"Soisy-sous-Montmorency, France","Left-Handed, Two-Handed Backhand",Adrian Mannarino,154,http://www.atpworldtour.com/en/players/adrian-mannarino/me82/overview,FRA,180,1988.06.29,77,75,"Soisy-sous-Montmorency, France",32,710
"Kiryat Shmonna, Israel","Right-Handed, One-Handed Backhand",Dudi Sela,144,http://www.atpworldtour.com/en/players/dudi-sela/sc56/overview,ISR,175,1985.04.04,78,77,"Tel Aviv, Israel",25,706
"Sarajevo, Bosnia and Herzegovi","Right-Handed, Two-Handed Backhand",Damir Dzumhur,154,http://www.atpworldtour.com/en/players/damir-dzumhur/d923/overview,BIH,175,1992.05.20,79,82,"Sarajevo, Bosnia and Herzegovi",28,689
"Narrandera, Australia","Right-Handed, One-Handed Backhand",Sam Groth,218,http://www.atpworldtour.com/en/players/sam-groth/g940/overview,AUS,193,1987.10.19,80,80,"Melbourne, Australia",27,686
"Chicago, Illinois, USA","Left-Handed, Two-Handed Backhand",Donald Young,175,http://www.atpworldtour.com/en/players/donald-young/y124/overview,USA,183,1989.07.23,81,84,"Atlanta, Georgia, USA",25,680
"Santiago, Dominican Republic","Right-Handed, One-Handed Backhand",Victor Estrella Burgos,170,http://www.atpworldtour.com/en/players/victor-estrella-burgos/e224/overview,DOM,173,1980.08.02,82,78,"Santiago, Dominican Republic",26,680
"Riga, Latvia","Right-Handed, Two-Handed Backhand",Ernests Gulbis,187,http://www.atpworldtour.com/en/players/ernests-gulbis/g858/overview,LAT,191,1988.08.30,83,83,"Jurmala, Latvia",24,676
"Suwon, South Korea","Right-Handed, Two-Handed Backhand",Hyeon Chung,183,http://www.atpworldtour.com/en/players/hyeon-chung/ch27/overview,KOR,185,1996.05.19,84,71,"Suwon, South Korea",22,675
"Schiltigheim, France","Right-Handed, Two-Handed Backhand",Pierre-Hugues Herbert,174,http://www.atpworldtour.com/en/players/pierre-hugues-herbert/h996/overview,FRA,188,1991.03.18,85,88,"Develier, Switzerland",18,660
"Bologna, Italy","Right-Handed, One-Handed Backhand",Simone Bolelli,182,http://www.atpworldtour.com/en/players/simone-bolelli/ba98/overview,ITA,183,1985.10.08,86,87,"Monte-Carlo, Monaco",24,642
"Buenos Aires, Argentina","Right-Handed, Two-Handed Backhand",Diego Schwartzman,141,http://www.atpworldtour.com/en/players/diego-schwartzman/sm37/overview,ARG,170,1992.08.16,87,90,"Buenos Aires, Argentina",29,624
"Volgograd, Russia","Right-Handed, Two-Handed Backhand",Mikhail Kukushkin,159,http://www.atpworldtour.com/en/players/mikhail-kukushkin/k926/overview,KAZ,183,1987.12.26,88,89,"Astana, Kazakhstan",24,623
"Johannesburg, South Africa","Right-Handed, Two-Handed Backhand",Kyle Edmund,176,http://www.atpworldtour.com/en/players/kyle-edmund/e831/overview,GBR,188,1995.01.08,89,92,"Beverley, England",21,613
"New York, USA","Right-Handed, Two-Handed Backhand",Taro Daniel,168,http://www.atpworldtour.com/en/players/taro-daniel/da81/overview,JPN,191,1993.01.27,90,85,"Valencia, Spain",30,611
"Mar del Plata, Argentina","Left-Handed, One-Handed Backhand",Horacio Zeballos,183,http://www.atpworldtour.com/en/players/horacio-zeballos/z184/overview,ARG,188,1985.04.27,91,93,"Buenos Aires, Argentina",27,603
"Merzig, Germany","Right-Handed, Two-Handed Backhand",Benjamin Becker,158,http://www.atpworldtour.com/en/players/benjamin-becker/b896/overview,GER,178,1981.06.16,92,95,"Dallas, Texas, USA",29,594
"Palermo, Italy","Right-Handed, One-Handed Backhand",Marco Cecchinato,171,http://www.atpworldtour.com/en/players/marco-cecchinato/cf01/overview,ITA,185,1992.09.30,93,99,"Palermo, Italy",25,591
"Caldas da Rainha, Portugal",Right-Handed,Gastao Elias,168,http://www.atpworldtour.com/en/players/gastao-elias/e698/overview,POR,180,1990.11.24,94,117,"Bradenton, Florida, USA",33,590
"Madrid, Spain","Left-Handed, Two-Handed Backhand",Daniel Munoz de la Nava,165,http://www.atpworldtour.com/en/players/daniel-munoz-de-la-nava/m915/overview,ESP,178,1982.01.29,95,96,"Madrid, Spain",25,590
"Rosario, Santa Fe, Argentina","Left-Handed, Two-Handed Backhand",Facundo Bagnis,180,http://www.atpworldtour.com/en/players/facundo-bagnis/bf23/overview,ARG,183,1990.02.27,96,97,"Buenos Aires, Argentina",26,590
"Pereira, Colombia","Right-Handed, Two-Handed Backhand",Santiago Giraldo,166,http://www.atpworldtour.com/en/players/santiago-giraldo/g725/overview,COL,188,1987.11.27,97,91,"Pereira, Colombia",31,579
Sant Carles de la Rapita,"Right-Handed, One-Handed Backhand",Albert Montanes,155,http://www.atpworldtour.com/en/players/albert-montanes/m824/overview,ESP,175,1980.11.26,98,104,"Barcelona, Spain",28,577
"Taipei, Chinese Taipei","Right-Handed, Two-Handed Backhand",Yen-Hsun Lu,163,http://www.atpworldtour.com/en/players/yen-hsun-lu/l575/overview,TPE,180,1983.08.14,99,98,"Taipei, Chinese Taipei",21,576
"Tandil, Argentina","Right-Handed, Two-Handed Backhand",Juan Monaco,179,http://www.atpworldtour.com/en/players/juan-monaco/ma21/overview,ARG,185,1984.03.29,100,94,"Buenos Aires, Argentina",17,575
"Sao Paulo, Brazil","Right-Handed, One-Handed Backhand",Rogerio Dutra Silva,161,http://www.atpworldtour.com/en/players/rogerio-dutra-silva/sc73/overview,BRA,178,1984.02.03,101,100,"Balneario Camboriu, Brazil",33,573
"The Hague, The Netherlands","Right-Handed, Two-Handed Backhand",Thiemo de Bakker,182,http://www.atpworldtour.com/en/players/thiemo-de-bakker/d776/overview,NED,193,1988.09.19,102,102,"Gravenzande, The Netherlands",26,564
"Mie, Japan","Left-Handed, Two-Handed Backhand",Yoshihito Nishioka,141,http://www.atpworldtour.com/en/players/yoshihito-nishioka/n732/overview,JPN,170,1995.09.27,103,101,"Mie, Japan",26,557
"Mie, Japan","Right-Handed, Two-Handed Backhand",Tatsuma Ito,165,http://www.atpworldtour.com/en/players/tatsuma-ito/i230/overview,JPN,180,1988.05.18,104,103,"Tokyo, Japan",30,552
"Lodz, Poland","Right-Handed, Two-Handed Backhand",Jerzy Janowicz,200,http://www.atpworldtour.com/en/players/jerzy-janowicz/j397/overview,POL,203,1990.11.13,105,105,"Lodz, Poland",20,550
"Celle, Germany","Right-Handed, Two-Handed Backhand",Dustin Brown,172,http://www.atpworldtour.com/en/players/dustin-brown/ba65/overview,GER,196,1984.12.08,106,106,"Winsen, Germany",25,549
"Vienna, Austria","Left-Handed, Two-Handed Backhand",Gerald Melzer,181,http://www.atpworldtour.com/en/players/gerald-melzer/mi43/overview,AUT,188,1990.07.13,107,112,"Vienna, Austria",23,547
"Grottaglie, Italy","Right-Handed, Two-Handed Backhand",Thomas Fabbiano,154,http://www.atpworldtour.com/en/players/thomas-fabbiano/f586/overview,ITA,173,1989.05.26,108,107,"Rome, Italy",34,545
,,Adam Pavlasek,,http://www.atpworldtour.com/en/players/adam-pavlasek/pg32/overview,CZE,,1994.10.08,109,108,"Right-Handed, Two-Handed Backhand",21,545
"Sombor, Serbia","Right-Handed, Two-Handed Backhand",Filip Krajinovic,165,http://www.atpworldtour.com/en/players/filip-krajinovic/kb05/overview,SRB,185,1992.02.27,110,109,"Monte-Carlo, Monaco",26,540
"Durban, South Africa","Right-Handed, Two-Handed Backhand",Matthew Ebden,172,http://www.atpworldtour.com/en/players/matthew-ebden/e690/overview,AUS,188,1987.11.26,111,110,"Perth, Australia",26,539
"Warstein, Germany","Right-Handed, Two-Handed Backhand",Jan-Lennard Struff,192,http://www.atpworldtour.com/en/players/jan-lennard-struff/sl28/overview,GER,196,1990.04.25,112,113,"Warstein, Germany",30,539
"Piestany, Slovakia","Right-Handed, Two-Handed Backhand",Lukas Lacko,188,http://www.atpworldtour.com/en/players/lukas-lacko/l797/overview,SVK,185,1987.11.03,113,114,"Bratislava, Slovakia",31,535
,,Yuichi Sugita,,http://www.atpworldtour.com/en/players/yuichi-sugita/se73/overview,JPN,,1988.09.18,114,111,"Right-Handed, Two-Handed Backhand",23,534
"Stuttgart, Germany","Left-Handed, One-Handed Backhand",Michael Berrer,220,http://www.atpworldtour.com/en/players/michael-berrer/b678/overview,GER,193,1980.07.01,115,115,"Stuttgart, Germany",24,533
"Montargis, France","Right-Handed, Two-Handed Backhand",Stephane Robert,170,http://www.atpworldtour.com/en/players/stephane-robert/r612/overview,FRA,185,1980.05.17,116,116,"Cepoy, France",22,526
"Pittsburgh, Pennsylvania, USA","Right-Handed, Two-Handed Backhand",Bjorn Fratangelo,172,http://www.atpworldtour.com/en/players/bjorn-fratangelo/f811/overview,USA,183,1993.07.19,117,126,"Boca Raton, Florida, USA",32,519
,,Jordan Thompson,161,http://www.atpworldtour.com/en/players/jordan-thompson/tc61/overview,AUS,183,1994.04.20,118,121,"Right-Handed, Two-Handed Backhand",30,516
