birthplace,plays,name,weight,url,country,height,date_of_birth,current_rank,previous_rank,residence,tournaments,points
"Subotica, Serbia","Right-Handed, Two-Handed Backhand",Matej Sabanov,163,http://www.atpworldtour.com/en/players/matej-sabanov/sl51/overview,CRO,180,1992.06.25,887,890,"Osijek, Croatia",16,19
"Stockholm, Sweden","Right-Handed, Two-Handed Backhand",Milos Sekulic,161,http://www.atpworldtour.com/en/players/milos-sekulic/sj15/overview,SWE,178,1989.11.04,888,892,"Stockholm, Sweden",18,19
,,Alberto Romero De Avila Senise,,http://www.atpworldtour.com/en/players/alberto-romero-de-avila-senise/rf12/overview,ESP,,1997.12.03,889,893,,21,19
"Acquapendente, Italy",Claudio Galoppini,Federico Maccari,165,http://www.atpworldtour.com/en/players/federico-maccari/ml82/overview,ITA,185,1994.02.07,890,894,"Right-Handed, Two-Handed Backhand",23,19
,,Leon Schutt,,http://www.atpworldtour.com/en/players/leon-schutt/sq62/overview,GER,,1993.11.11,891,895,,26,19
"Delhi, India",Left-Handed,Divij Sharan,172,http://www.atpworldtour.com/en/players/divij-sharan/sd46/overview,IND,183,1986.03.02,892,896,"Delhi, India",3,18
"Krasnoyarsk, Russia","Right-Handed, Two-Handed Backhand",Ronald Slobodchikov,161,http://www.atpworldtour.com/en/players/ronald-slobodchikov/so96/overview,RUS,178,1993.12.04,893,897,Russia,5,18
"St. Joseph, MI, USA","Right-Handed, Two-Handed Backhand",Reilly Opelka,210,http://www.atpworldtour.com/en/players/reilly-opelka/o522/overview,USA,211,1997.08.28,894,898,"Palm Coast, FL, USA",8,18
Levallois,Right-Handed,Alexis Gautier,165,http://www.atpworldtour.com/en/players/alexis-gautier/gj05/overview,FRA,198,1997.04.07,895,899,Paris,11,18
"Rancagua, Chile",Aldo Alvarez,Ricardo Urzua-Rivera,143,http://www.atpworldtour.com/en/players/ricardo-urzua-rivera/u105/overview,CHI,,1989.02.10,896,859,"Right-Handed, One-Handed Backhand",11,18
,,Nam Hoang Ly,,http://www.atpworldtour.com/en/players/nam-hoang-ly/ld22/overview,VIE,,1997.02.25,897,900,"Right-Handed, Two-Handed Backhand",13,18
"Bucharest, Romania","Right-Handed, Two-Handed Backhand",Andrei Stefan Apostol,163,http://www.atpworldtour.com/en/players/andrei-stefan-apostol/ab64/overview,ROU,,1995.02.25,898,901,Romania,14,18
"Rostov-on-Don, Russia","Right-Handed, Two-Handed Backhand",Alexander Perfilov,176,http://www.atpworldtour.com/en/players/alexander-perfilov/pd10/overview,RUS,193,1985.05.17,899,902,"Rostov-on-Don, Russia",15,18
,,Alessandro Colella,,http://www.atpworldtour.com/en/players/alessandro-colella/cd41/overview,ITA,,1992.02.10,900,891,,15,18
"Buenos Aires, Argentina","Right-Handed, Two-Handed Backhand",Santiago Fa Rodriguez Taverna,176,http://www.atpworldtour.com/en/players/santiago-fa-rodriguez-taverna/rh59/overview,ARG,188,1999.07.16,901,904,Argentina,15,18
"Stockholm, Sweden","Right-Handed, Two-Handed Backhand",Jonathan Mridha,165,http://www.atpworldtour.com/en/players/jonathan-mridha/mm78/overview,SWE,183,1995.04.08,902,903,"Stockholm, Sweden",16,18
"Scottsdale, Arizona, USA","Right-Handed, Two-Handed Backhand",Tyler Hochwalt,185,http://www.atpworldtour.com/en/players/tyler-hochwalt/h836/overview,USA,193,1989.02.05,903,905,"Austin, TX, USA",18,18
"Sydney, Australia","Right-Handed, One-Handed Backhand",Jarryd Chaplin,185,http://www.atpworldtour.com/en/players/jarryd-chaplin/cd94/overview,AUS,183,1992.04.13,904,906,"Sydney, Australia",19,18
,,Antonio Campo,,http://www.atpworldtour.com/en/players/antonio-campo/cf02/overview,ITA,,1993.08.04,905,940,,19,18
,,Vullnet Tashi,,http://www.atpworldtour.com/en/players/vullnet-tashi/td06/overview,SUI,,1993.01.10,906,907,"Right-Handed, Two-Handed Backhand",19,18
"Ljubljana, Slovenia",,Mike Urbanija,172,http://www.atpworldtour.com/en/players/mike-urbanija/u133/overview,SLO,185,1989.12.26,907,922,"Right-Handed, One-Handed Backhand",20,18
,,Luca Margaroli,,http://www.atpworldtour.com/en/players/luca-margaroli/mj69/overview,SUI,,1992.02.15,908,910,,24,18
"Ciutadella, Spain","Left-Handed, Two-Handed Backhand",Sergio Martos Gornes,176,http://www.atpworldtour.com/en/players/sergio-martos-gornes/ml35/overview,ESP,185,1994.10.19,909,911,"Barcelona, Spain",25,18
"Brezice, Slovenia","Right-Handed, Two-Handed Backhand",Antonio Sancic,181,http://www.atpworldtour.com/en/players/antonio-sancic/si06/overview,CRO,183,1988.11.23,910,871,"Samobor,Croatia",4,17
"Metz, France","Left-Handed, Two-Handed Backhand",Ugo Humbert,150,http://www.atpworldtour.com/en/players/ugo-humbert/hh26/overview,FRA,188,1998.06.26,911,912,"Metz, France",6,17
,,Jonas Luetjen,,http://www.atpworldtour.com/en/players/jonas-luetjen/l993/overview,GER,,1990.08.13,912,931,,7,17
,,Rishab Agarwal,,http://www.atpworldtour.com/en/players/rishab-agarwal/af41/overview,IND,,1995.12.05,913,913,"Right-Handed, Two-Handed Backhand",8,17
"Neuilly, France",Thierry Tulasne,Corentin Moutet,143,http://www.atpworldtour.com/en/players/corentin-moutet/mw02/overview,FRA,175,1999.04.19,914,914,"Left-Handed, Two-Handed Backhand",10,17
"Paris, France","Right-Handed, Two-Handed Backhand",Maxime Tchoutakian,150,http://www.atpworldtour.com/en/players/maxime-tchoutakian/tb79/overview,FRA,183,1994.01.03,915,916,"Peynier , France",10,17
"Atlanta, GA, USA","Right-Handed, Two-Handed Backhand",Nathan Pasha,188,http://www.atpworldtour.com/en/players/nathan-pasha/pe00/overview,USA,191,1992.07.15,916,917,"Atlanta, GA, USA",14,17
Saint Etienne,,Elie Rousset,194,http://www.atpworldtour.com/en/players/elie-rousset/ra15/overview,FRA,198,1989.09.05,917,919,Ambidextrous,14,17
,,Gianluca Di Nicola,,http://www.atpworldtour.com/en/players/gianluca-di-nicola/da85/overview,ITA,,1995.12.07,918,920,,15,17
"New Delhi, India",,Kunal Anand,194,http://www.atpworldtour.com/en/players/kunal-anand/aa92/overview,IND,183,1992.06.02,919,918,"Right-Handed, Two-Handed Backhand",15,17
"Bucharest, Romania","Right-Handed, Two-Handed Backhand",Luca George Tatomir,179,http://www.atpworldtour.com/en/players/luca-george-tatomir/tc13/overview,ROU,191,1995.08.21,920,921,"Bucharest, Romania",17,17
"Toronto, Canada","Left-Handed, Two-Handed Backhand",Nick Chappell,190,http://www.atpworldtour.com/en/players/nick-chappell/cf10/overview,USA,178,1992.09.19,921,939,"Fort Worth, Texas",19,17
"Moscow, Russia","Right-Handed, Two-Handed Backhand",Ilya Lebedev,165,http://www.atpworldtour.com/en/players/ilya-lebedev/la82/overview,RUS,183,1990.08.01,922,924,"Moscow, Russia",21,17
"Queenstown, New Zealand","Right-Handed, One-Handed Backhand",Ben Mclachlan,181,http://www.atpworldtour.com/en/players/ben-mclachlan/mo07/overview,NZL,188,1992.05.10,923,923,New Zealand,21,17
,,Alon Elia,,http://www.atpworldtour.com/en/players/alon-elia/bk54/overview,ISR,,1995.06.12,924,925,,25,17
"Istanbul, Turkey",Dominik Hrbaty,Sarp Agabigun,165,http://www.atpworldtour.com/en/players/sarp-agabigun/ad04/overview,TUR,178,1997.06.12,925,926,"Right-Handed, Two-Handed Backhand",29,17
"Naples, Florida, USA",Right-Handed,Jesse Witten,180,http://www.atpworldtour.com/en/players/jesse-witten/w387/overview,USA,178,1982.10.15,926,927,"Naples, Florida, USA",3,16
"Rio De Janeiro, Brazil","Right-Handed, One-Handed Backhand",Fabiano De Paula,172,http://www.atpworldtour.com/en/players/fabiano-de-paula/d815/overview,BRA,178,1988.11.28,927,929,"Rio De Janeiro, Brazil",4,16
"Gentofte, Denmark",,Mikael Torpegaard,,http://www.atpworldtour.com/en/players/mikael-torpegaard/tc12/overview,DEN,,1994.05.08,928,928,"Right-Handed, Two-Handed Backhand",5,16
,,Adrian Partl,181,http://www.atpworldtour.com/en/players/adrian-partl/pe44/overview,SVK,183,1993.11.13,929,930,"Right-Handed, Two-Handed Backhand",6,16
,,Khumoun Sultanov,,http://www.atpworldtour.com/en/players/khumoun-sultanov/sr81/overview,UZB,,1998.10.27,930,1124,,6,16
"Bujumbura, Burundi","Right-Handed, Two-Handed Backhand",Hassan Ndayishimiye,165,http://www.atpworldtour.com/en/players/hassan-ndayishimiye/n710/overview,BDI,,1994.08.12,931,932,United States,7,16
,,Jamie Whiteford,,http://www.atpworldtour.com/en/players/jamie-whiteford/w677/overview,GBR,,1990.08.30,932,915,,9,16
"Narva, Estonia",Left-Handed,Anton Pavlov,146,http://www.atpworldtour.com/en/players/anton-pavlov/pg51/overview,EST,175,1995.08.04,933,933,"Tallinn, Estonia",12,16
,,Alexander Boborykin,,http://www.atpworldtour.com/en/players/alexander-boborykin/br59/overview,RUS,,1996.06.03,934,934,,12,16
,,Thibault Venturino,,http://www.atpworldtour.com/en/players/thibault-venturino/v685/overview,FRA,,1989.04.29,934,934,,12,16
,,Arthur Surreaux,,http://www.atpworldtour.com/en/players/arthur-surreaux/sr55/overview,FRA,,1987.02.11,936,850,,14,16
"La Marsa, Tunisia","Left-Handed, Two-Handed Backhand",Aziz Dougaz,170,http://www.atpworldtour.com/en/players/aziz-dougaz/df88/overview,TUN,188,1997.03.26,937,936,Tallahassee Florida,15,16
,,Gabriel Petit,,http://www.atpworldtour.com/en/players/gabriel-petit/pl78/overview,FRA,,1995.08.22,938,937,"Right-Handed, Two-Handed Backhand",16,16
,,Matthieu Roy ,,http://www.atpworldtour.com/en/players/matthieu-roy/ra95/overview,FRA,,1989.09.22,939,938,,17,16
"Sibiu, Romania","Left-Handed, Two-Handed Backhand",Victor Vlad Cornea,176,http://www.atpworldtour.com/en/players/victor-vlad-cornea/cf25/overview,ROU,,1993.09.24,940,941,"Sibiu, Romania",20,16
,,Leandro Portmann,,http://www.atpworldtour.com/en/players/leandro-portmann/pg23/overview,ARG,,1994.01.13,941,942,,21,16
Gorzów Wielkopolski,"Right-Handed, Two-Handed Backhand",Karol Drzewiecki,194,http://www.atpworldtour.com/en/players/karol-drzewiecki/de12/overview,POL,191,1995.11.01,942,909,Poznan,21,16
,,Nils Brinkman,,http://www.atpworldtour.com/en/players/nils-brinkman/bj48/overview,GER,,1992.06.25,943,966,,23,16
"Parma, Italy",,Francesco Borgo,154,http://www.atpworldtour.com/en/players/francesco-borgo/bh75/overview,ITA,183,1985.07.14,943,943,"Right-Handed, Two-Handed Backhand",23,16
"Ostrava, Czech Republic","Right-Handed, Two-Handed Backhand",David Poljak,168,http://www.atpworldtour.com/en/players/david-poljak/ph77/overview,CZE,188,1996.05.17,945,944,"Ostrava, Czech Republic",25,16
"Madrid, Spain","Right-Handed, Two-Handed Backhand",Miguel Semmler,141,http://www.atpworldtour.com/en/players/miguel-semmler/sq97/overview,ESP,180,1997.05.02,946,945,Madrid,26,16
"Omsk, Russia","Right-Handed, Two-Handed Backhand",Mikhail Vaks,187,http://www.atpworldtour.com/en/players/mikhail-vaks/v820/overview,RUS,180,1993.07.18,947,946,Russia,5,15
,,Alexis Klegou,,http://www.atpworldtour.com/en/players/alexis-klegou/ka33/overview,BEN,,1989.01.25,948,947,,6,15
"Tartu, Estonia",,Kenneth Raisma,,http://www.atpworldtour.com/en/players/kenneth-raisma/rh25/overview,EST,,1998.04.03,949,949,Left-Handed,6,15
"Kanagawa, Japan",Right-Handed,Shintaro Imai,163,http://www.atpworldtour.com/en/players/shintaro-imai/i330/overview,JPN,178,1993.09.07,950,950,"Tokyo, Japan",7,15
,,Valery Rudnev,,http://www.atpworldtour.com/en/players/valery-rudnev/r790/overview,RUS,,1988.02.16,951,948,Russia,7,15
"Vienna, Austria",Left-Handed,Tristan-Samuel Weissborn,165,http://www.atpworldtour.com/en/players/tristan-samuel-weissborn/w612/overview,AUT,183,1991.10.24,952,951,"Korneuburg, Austria",7,15
,,Nikita Kryvonos,,http://www.atpworldtour.com/en/players/nikita-kryvonos/k826/overview,USA,,1986.09.01,953,952,United States,9,15
Melbourne,Right-Handed,Daniel Nolan,159,http://www.atpworldtour.com/en/players/daniel-nolan/n763/overview,AUS,175,1997.03.12,954,953,Australia,10,15
"Montreuil, France","Right-Handed, Two-Handed Backhand",Rayane Roumane,165,http://www.atpworldtour.com/en/players/rayane-roumane/rh54/overview,FRA,191,2000.09.11,955,954,"Bagnolet, France",11,15
"Torun, Poland",Right-Handed,Mikolaj Jedruszczak,176,http://www.atpworldtour.com/en/players/mikolaj-jedruszczak/j536/overview,POL,188,1993.08.27,956,956,"Katowice, Poland",13,15
,,Denis Matsukevich,177,http://www.atpworldtour.com/en/players/denis-matsukevich/mc18/overview,RUS,191,1986.03.28,957,955,Right-Handed,13,15
HEILONGJIANG,Right-Handed,Zhaoyi Cao,165,http://www.atpworldtour.com/en/players/zhaoyi-cao/cg42/overview,CHN,185,1993.12.05,958,957,TIANJIN,13,15
"London, England",Right-Handed,Michael Grant,170,http://www.atpworldtour.com/en/players/michael-grant/gd13/overview,USA,180,1992.02.13,959,958,"Boca Raton, Fl, USA",14,15
"Brisbane, Australia","Right-Handed, Two-Handed Backhand",Steven De Waard,176,http://www.atpworldtour.com/en/players/steven-de-waard/db34/overview,AUS,180,1991.05.05,960,959,"Melbourne, Australia",15,15
,,Yuichi Ito,,http://www.atpworldtour.com/en/players/yuichi-ito/i183/overview,JPN,,1986.08.06,961,960,,16,15
"Canoas, Brazil","Right-Handed, Two-Handed Backhand",Oscar Jose Gutierrez,148,http://www.atpworldtour.com/en/players/oscar-jose-gutierrez/gc17/overview,BRA,170,1993.04.25,962,962,"Porto Alegre, Brazil",17,15
,,Colin Van Beem,,http://www.atpworldtour.com/en/players/colin-van-beem/v750/overview,NED,,1992.04.28,963,963,,19,15
,,Haadin Salim Bava,,http://www.atpworldtour.com/en/players/haadin-salim-bava/bk35/overview,IND,,1994.12.03,964,964,,20,15
,,Tal Goldengoren,,http://www.atpworldtour.com/en/players/tal-goldengoren/ge00/overview,ISR,,1996.04.16,965,965,,22,15
"Izmail, Ukraine",Right-Handed,Gleb Alekseenko,187,http://www.atpworldtour.com/en/players/gleb-alekseenko/a704/overview,UKR,191,1983.05.19,966,967,Ukraine,37,15
,,Jordi Vives,,http://www.atpworldtour.com/en/players/jordi-vives/v709/overview,ESP,,1992.07.28,967,968,,5,14
"Titusville, Florida",Left-Handed,Greg Ouellette,158,http://www.atpworldtour.com/en/players/greg-ouellette/o269/overview,USA,178,1986.05.19,968,969,"Ormond Beach, Florida",7,14
"Helsingborg, Sweden","Right-Handed, Two-Handed Backhand",Daniel Windahl,168,http://www.atpworldtour.com/en/players/daniel-windahl/w739/overview,SWE,188,1996.07.20,969,970,"Stockholm, Sweden",10,14
"Saitama, Japan",,Jumpei Yamasaki,,http://www.atpworldtour.com/en/players/jumpei-yamasaki/y235/overview,JPN,,1997.07.02,970,971,"Right-Handed, Two-Handed Backhand",11,14
"Mulhouse, France","Right-Handed, Two-Handed Backhand",Teri Groll,165,http://www.atpworldtour.com/en/players/teri-groll/gc03/overview,FRA,188,1992.12.10,971,974,Mulhouse,13,14
"Bratislava, Slovakia","Right-Handed, Two-Handed Backhand",Martin Beran,187,http://www.atpworldtour.com/en/players/martin-beran/bl97/overview,CAN,191,1995.11.27,972,973,"Oakville, Canada",14,14
"Ludhiana, India","Right-Handed, Two-Handed Backhand",Chandril Sood,148,http://www.atpworldtour.com/en/players/chandril-sood/sl55/overview,IND,168,1991.02.20,973,975,"Ghaziabad, India",14,14
"Amstetten, Austria",,Dominic Weidinger,,http://www.atpworldtour.com/en/players/dominic-weidinger/w711/overview,AUT,,1995.01.11,974,976,"Right-Handed, Two-Handed Backhand",16,14
,,Dan Dowson,,http://www.atpworldtour.com/en/players/dan-dowson/df87/overview,GBR,,1996.05.31,975,977,,18,14
"Stockholm, Sweden","Right-Handed, Two-Handed Backhand",Christoffer Solberg,154,http://www.atpworldtour.com/en/players/christoffer-solberg/sq33/overview,SWE,175,1994.02.01,976,978,"Stockholm, Sweden",23,14
,,Yan Sabanin,,http://www.atpworldtour.com/en/players/yan-sabanin/sk53/overview,RUS,,1990.01.31,977,979,,24,14
"Baden-Baden, Germany",Right-Handed,Frank Moser,203,http://www.atpworldtour.com/en/players/frank-moser/m747/overview,GER,196,1976.09.23,978,980,"Baden-Baden, Germany",1,13
"Aleksandrovac, Serbia",Right-Handed,Ilija Bozoljac,189,http://www.atpworldtour.com/en/players/ilija-bozoljac/ba57/overview,SRB,193,1985.08.02,979,981,"Belgrade, Serbia",2,13
"Aarhus, Denmark","Right-Handed, Two-Handed Backhand",Soren Hess-Olesen,181,http://www.atpworldtour.com/en/players/soren-hess-olesen/ha37/overview,DEN,188,1991.01.09,980,982,"Aarhus, Denmark",3,13
,,Micke Kontinen,,http://www.atpworldtour.com/en/players/micke-kontinen/kb56/overview,FIN,,1992.12.18,981,983,,4,13
Santo Domingo,Right-Handed,Roberto Cid Subervi,180,http://www.atpworldtour.com/en/players/roberto-cid-subervi/cf88/overview,DOM,193,1993.08.30,982,984,"Tampa, FL",5,13
"Ithaca, New York",,William Bushamuka,210,http://www.atpworldtour.com/en/players/william-bushamuka/bs17/overview,USA,185,1996.01.24,982,984,Right-Handed,5,13
,,Ji Hoon Son,,http://www.atpworldtour.com/en/players/ji-hoon-son/so41/overview,KOR,,1994.09.09,984,986,,6,13
"Correggio, Italy","Left-Handed, Two-Handed Backhand",Andrea Guerrieri,165,http://www.atpworldtour.com/en/players/andrea-guerrieri/g0a0/overview,ITA,178,1998.12.03,985,988,"Correggio, Italy",6,13
"Bastia, France",,Laurent Lokoli,,http://www.atpworldtour.com/en/players/laurent-lokoli/lc12/overview,FRA,,1994.10.18,986,986,Right-Handed,7,13
"Deva, Romania","Left-Handed, Two-Handed Backhand",Dragos Nicolae Madaras,176,http://www.atpworldtour.com/en/players/dragos-nicolae-madaras/mw54/overview,SWE,191,1997.09.12,987,989,Sweden,8,13
,,Jeremy Beale,,http://www.atpworldtour.com/en/players/jeremy-beale/bu34/overview,AUS,,1994.10.04,988,990,"Left-Handed, Two-Handed Backhand",9,13
"Tampere, Finland","Left-Handed, Two-Handed Backhand",Patrik Niklas-Salminen,190,http://www.atpworldtour.com/en/players/patrik-niklas-salminen/n754/overview,FIN,188,1997.03.05,989,991,"Tampere, Finland",9,13
"London, England","Right-Handed, Two-Handed Backhand",Matthew Short,185,http://www.atpworldtour.com/en/players/matthew-short/sk86/overview,GBR,183,1990.01.08,990,992,"Marbella, Spain",9,13
"Oberndorf (Salzburg), Austria","Right-Handed, One-Handed Backhand",Nicolas Reissig,185,http://www.atpworldtour.com/en/players/nicolas-reissig/r934/overview,AUT,185,1989.04.07,991,993,"Schleedorf (Salzburg), Austria",10,13
,,Manuel Mazzella,,http://www.atpworldtour.com/en/players/manuel-mazzella/mj78/overview,ITA,,1991.12.24,992,994,,11,13
"Santa Barbara, Brazil",Right-Handed,Leonardo Kirche,192,http://www.atpworldtour.com/en/players/leonardo-kirche/k650/overview,BRA,188,1985.01.04,993,972,"Santa Barbara, Brazil",11,13
,,Thomas Giraudeau,,http://www.atpworldtour.com/en/players/thomas-giraudeau/gc42/overview,FRA,,1991.11.26,994,996,,12,13
,,Stanislav Poplavskyy,,http://www.atpworldtour.com/en/players/stanislav-poplavskyy/pf14/overview,UKR,,1991.04.02,995,995,,12,13
,,Bernd Kossler,,http://www.atpworldtour.com/en/players/bernd-kossler/ke14/overview,AUT,,1993.07.13,996,1014,,14,13
,,Enrico Dalla Valle,,http://www.atpworldtour.com/en/players/enrico-dalla-valle/dg80/overview,ITA,,1998.03.21,997,997,,15,13
"Vrbas, Yugoslavia",Right-Handed,Denis Bejtulahi,192,http://www.atpworldtour.com/en/players/denis-bejtulahi/bd91/overview,SRB,,1987.06.01,998,998,"Beograd, Serbia",15,13
,,Francesco Garzelli,,http://www.atpworldtour.com/en/players/francesco-garzelli/gc29/overview,ITA,,1991.04.05,999,999,,16,13
Moravska Trebova,"Right-Handed, Two-Handed Backhand",Dominik Suc,157,http://www.atpworldtour.com/en/players/dominik-suc/sp75/overview,CZE,175,1990.09.19,1000,1000,"Prague, Czech Republic",18,13
,,Davide Galoppini,,http://www.atpworldtour.com/en/players/davide-galoppini/gf20/overview,ITA,,1994.10.24,1001,1001,"Right-Handed, Two-Handed Backhand",18,13
"Palermo, Italy","Right-Handed, One-Handed Backhand",Alberto Cammarata,170,http://www.atpworldtour.com/en/players/alberto-cammarata/ce71/overview,ITA,175,1993.04.08,1002,1021,"Palermo, Italy",20,13
,,Ivan Arenas-Gualda,0,http://www.atpworldtour.com/en/players/ivan-arenas-gualda/a787/overview,ESP,0,1990.10.31,1003,1002,,21,13
"Woerden, Netherlands","Right-Handed, Two-Handed Backhand",Jelle Sels,183,http://www.atpworldtour.com/en/players/jelle-sels/so20/overview,NED,188,1995.08.10,1004,1022,Alphen aan den Rijn,22,13
"Dornbirn, Austria",Right-Handed,Martin Fischer,157,http://www.atpworldtour.com/en/players/martin-fischer/f580/overview,AUT,180,1986.07.21,1005,845,"Wolfurt, Austria",1,12
"Buenos Aires, Argentina",Right-Handed,Cristian Villagran,160,http://www.atpworldtour.com/en/players/cristian-villagran/v298/overview,SUI,180,1982.01.20,1006,1004,"Buenos Aires, Argentina",3,12
,,Pavel Kotov,,http://www.atpworldtour.com/en/players/pavel-kotov/k09f/overview,RUS,,1998.11.18,1007,1005,,4,12
"Saint Cloud, France","Left-Handed, Two-Handed Backhand",Maxime Petel,176,http://www.atpworldtour.com/en/players/maxime-petel/pj21/overview,FRA,185,1997.04.21,1008,1006,Chambourcy,6,12
,,Artem Dubrivnyy,,http://www.atpworldtour.com/en/players/artem-dubrivnyy/dg97/overview,RUS,,1999.01.31,1009,1007,,8,12
,,Ivan Davydov,,http://www.atpworldtour.com/en/players/ivan-davydov/dg44/overview,RUS,,1996.10.18,1010,1009,"Right-Handed, Two-Handed Backhand",10,12
Hunan,"Left-Handed, Two-Handed Backhand",Xiao Gong,165,http://www.atpworldtour.com/en/players/xiao-gong/ge09/overview,CHN,178,1992.01.05,1010,1008,Fuzhou,10,12
"La Marsa, Tunisia","Right-Handed, Two-Handed Backhand",Moez Echargui,165,http://www.atpworldtour.com/en/players/moez-echargui/ea13/overview,TUN,180,1993.01.10,1012,1010,"La Marsa, Tunisia",10,12
"Buenos Aires, Argentina","Right-Handed, Two-Handed Backhand",Andres Molteni,154,http://www.atpworldtour.com/en/players/andres-molteni/me56/overview,ARG,180,1988.03.15,1013,788,"Buenos Aires, Argentina",11,12
,,Piotr Lomacki,,http://www.atpworldtour.com/en/players/piotr-lomacki/lf31/overview,POL,,1995.11.28,1014,1011,,11,12
,,Vit Kopriva,,http://www.atpworldtour.com/en/players/vit-kopriva/ki82/overview,CZE,,1997.06.15,1015,1012,,12,12
,,Dmitriy Kamynin,,http://www.atpworldtour.com/en/players/dmitriy-kamynin/k957/overview,UKR,,1989.10.28,1016,1013,,13,12
,,Hugo Voljacques,,http://www.atpworldtour.com/en/players/hugo-voljacques/va38/overview,FRA,,1992.12.30,1017,1070,,14,12
,,Daniel Glancy,,http://www.atpworldtour.com/en/players/daniel-glancy/ga84/overview,IRL,,1988.11.13,1018,1015,,14,12
,,Nicolae Frunza,,http://www.atpworldtour.com/en/players/nicolae-frunza/f952/overview,ROU,,1997.11.15,1019,1016,Right-Handed,15,12
,,Marek Semjan,,http://www.atpworldtour.com/en/players/marek-semjan/sh08/overview,SVK,,1987.11.07,1020,1042,,16,12
"Tel Aviv, Israel","Right-Handed, Two-Handed Backhand",Daniel Cukierman,154,http://www.atpworldtour.com/en/players/daniel-cukierman/cl82/overview,ISR,,1995.07.09,1021,1017,Israel,16,12
,,Majed Kilani,,http://www.atpworldtour.com/en/players/majed-kilani/ke35/overview,TUN,,1997.01.01,1022,1018,,17,12
,,Darko Jandric,,http://www.atpworldtour.com/en/players/darko-jandric/j521/overview,SRB,,1994.09.02,1022,1018,,17,12
"Neyveli, India","Right-Handed, Two-Handed Backhand",Niki Kaliyanda Poonacha,183,http://www.atpworldtour.com/en/players/niki-kaliyanda-poonacha/kh77/overview,IND,191,1995.04.27,1024,1020,"Neyveli, India",18,12
,,Peter Goldsteiner,,http://www.atpworldtour.com/en/players/peter-goldsteiner/gc99/overview,AUT,,1990.07.31,1025,1023,,21,12
,,Nuno Deus,163,http://www.atpworldtour.com/en/players/nuno-deus/dc51/overview,POR,183,1995.05.07,1026,1024,,23,12
,,Tom Farquharson,,http://www.atpworldtour.com/en/players/tom-farquharson/f751/overview,GBR,,1992.02.12,1027,1027,,2,11
,,Christian Trubrig,,http://www.atpworldtour.com/en/players/christian-trubrig/tb68/overview,AUT,,1992.11.13,1028,1029,,5,11
,,Matej Vocel,,http://www.atpworldtour.com/en/players/matej-vocel/va22/overview,CZE,,1997.05.20,1029,1030,,7,11
Holtsville,"Right-Handed, Two-Handed Backhand",Dominic Cotrone,180,http://www.atpworldtour.com/en/players/dominic-cotrone/cg88/overview,USA,185,1993.08.04,1030,1031,Florida,7,11
,,David Simunek,,http://www.atpworldtour.com/en/players/david-simunek/sq24/overview,CZE,,1993.07.09,1031,1032,,9,11
,,Shahin Khaledan,,http://www.atpworldtour.com/en/players/shahin-khaledan/ka77/overview,IRI,,1990.06.07,1032,1033,,10,11
"Bangkok, Thailand","Right-Handed, Two-Handed Backhand",Jirat Navasirisomboon,132,http://www.atpworldtour.com/en/players/jirat-navasirisomboon/n831/overview,THA,175,1996.11.17,1033,1034,Thailand,11,11
,,Johan Nikles,,http://www.atpworldtour.com/en/players/johan-nikles/n830/overview,SUI,,1997.03.23,1034,1035,"Right-Handed, Two-Handed Backhand",12,11
"Busto Arsizio, Italy","Right-Handed, Two-Handed Backhand",Simone Roncalli,159,http://www.atpworldtour.com/en/players/simone-roncalli/re27/overview,ITA,178,1996.05.08,1035,1036,"Parabiago, Italy",13,11
,,Duncan Mugabe,,http://www.atpworldtour.com/en/players/duncan-mugabe/mj84/overview,UGA,,1990.11.27,1036,1037,,13,11
"Cascais, Portugal","Right-Handed, Two-Handed Backhand",Vasco Mensurado,159,http://www.atpworldtour.com/en/players/vasco-mensurado/mk39/overview,POR,175,1994.04.01,1037,1038,"Cascais, Portugal",13,11
,,Quentin Robert,,http://www.atpworldtour.com/en/players/quentin-robert/rb04/overview,FRA,,1994.08.24,1038,1040,,14,11
"Berlin, Germany",Right-Handed,Adrian Andrzejczuk,187,http://www.atpworldtour.com/en/players/adrian-andrzejczuk/ab67/overview,POL,193,1996.03.18,1039,1041,"Bydgoszcz, Poland",15,11
,,Wishaya Trongcharoenchaikul,,http://www.atpworldtour.com/en/players/wishaya-trongcharoenchaikul/tb70/overview,THA,,1995.04.08,1040,1044,"Right-Handed, Two-Handed Backhand",15,11
"Bordeaux, France","Right-Handed, One-Handed Backhand",Joffrey De Schepper,201,http://www.atpworldtour.com/en/players/joffrey-de-schepper/da41/overview,FRA,196,1991.09.16,1041,1043,"Bordeaux, France",16,11
Capital Federal,"Cinthia Conthi, Natalia Grisolia",Julian Busch,198,http://www.atpworldtour.com/en/players/julian-busch/bi68/overview,ARG,,1993.12.21,1042,1045,"Right-Handed, Two-Handed Backhand",16,11
,,Alexander Jhun,,http://www.atpworldtour.com/en/players/alexander-jhun/j523/overview,GBR,,1995.05.08,1043,1047,,17,11
,,Yankel Zemel,,http://www.atpworldtour.com/en/players/yankel-zemel/z405/overview,ISR,,1998.08.26,1044,1046,"Left-Handed, Two-Handed Backhand",17,11
"Bangkok, Thailand","Right-Handed, Two-Handed Backhand",Roy De Valk,187,http://www.atpworldtour.com/en/players/roy-de-valk/dd50/overview,NED,185,1991.12.30,1045,1048,"Zoetermeer, Netherlands",18,11
